# provenance only — NOT semantic authority
# authority: lib/surface/semantic-registry.lisp sr/2
# old_decimal_id	sid_u8	sid_bits	representative_surface
-	0	00000000	()
0001	1	00000001	quote
0002	2	00000010	atom
0003	3	00000011	eq
0004	4	00000100	cons
0005	5	00000101	car
0006	6	00000110	cdr
0007	7	00000111	cond
0010	8	00001000	lambda
0011	9	00001001	define
0012	10	00001010	defmacro
1000	11	00001011	def
0104	12	00001100	додати
1001	13	00001101	відняти
1002	14	00001110	помножити
1003	15	00001111	поділити
1004	16	00010000	abs
1005	17	00010001	min
1006	18	00010010	max
1007	19	00010011	mod
1008	20	00010100	quotient
1009	21	00010101	sqrt
1010	22	00010110	isqrt
1011	23	00010111	min-list
1012	24	00011000	max-list
1013	25	00011001	largest-chunk
1014	26	00011010	менше?
1015	27	00011011	більше?
1016	28	00011100	рівне?
1017	29	00011101	не-більше?
1018	30	00011110	не-менше?
1019	31	00011111	nondecreasing-from?
1020	32	00100000	nonincreasing-from?
1021	33	00100001	not
1022	34	00100010	equal?
1023	35	00100011	symbol?
1024	36	00100100	string?
1025	37	00100101	string<?
1026	38	00100110	numeric-buffer?
1027	39	00100111	list
1028	40	00101000	length
1029	41	00101001	append
1030	42	00101010	reverse
1031	43	00101011	nth
1032	44	00101100	member?
1033	45	00101101	assoc
1034	46	00101110	pair
1035	47	00101111	second
1036	48	00110000	third
1037	49	00110001	fourth
1038	50	00110010	fifth
1039	51	00110011	caar
1040	52	00110100	cadr
1041	53	00110101	cddr
1042	54	00110110	cadddr
0101	55	00110111	map
0102	56	00111000	filter
0103	57	00111001	reduce
1043	58	00111010	string-append
1044	59	00111011	string-length
1045	60	00111100	string-empty?
1046	61	00111101	string-prefix?
1047	62	00111110	string-contains?
1048	63	00111111	string-first
1049	64	01000000	string-rest
1050	65	01000001	string-slice
1051	66	01000010	symbol->string
1052	67	01000011	string->symbol
1053	68	01000100	codepoint->string
1054	69	01000101	string->codepoint
1055	70	01000110	number->string
1056	71	01000111	digit->string
1057	72	01001000	print
1058	73	01001001	princ
1059	74	01001010	read
1060	75	01001011	read-all
1061	76	01001100	write-to-string
1062	77	01001101	eval
1063	78	01001110	env
1064	79	01001111	vector
1065	80	01010000	make-vector
1066	81	01010001	vector-length
1067	82	01010010	vector-ref
1068	83	01010011	vector-set!
1069	84	01010100	i32-buffer
1070	85	01010101	f32-buffer
1071	86	01010110	numeric-buffer-type
1072	87	01010111	numeric-buffer-length
1073	88	01011000	numeric-buffer-ref
1074	89	01011001	numeric-buffer-map
1075	90	01011010	mono-ns
1076	91	01011011	unix-time-now
1077	92	01011100	ntp-query-raw
1078	93	01011101	timezone-declarations-raw
1079	94	01011110	utc-now
1080	95	01011111	utc-from-unix
1081	96	01100000	unix-time-observation->utc
1082	97	01100001	milliseconds-from-nanoseconds
1083	98	01100010	mono-ms
1084	99	01100011	timezone-name
1085	100	01100100	timezone-detect
1086	101	01100101	timezone-offset-seconds
1087	102	01100110	deadline-reached?
1088	103	01100111	deadline-reached-at?
1089	104	01101000	elapsed-ns
1090	105	01101001	deadline-from
1091	106	01101010	deadline-after-ns
1092	107	01101011	internet-time-sync
1093	108	01101100	map-empty
1094	109	01101101	map-get
1095	110	01101110	map-insert
1096	111	01101111	map-contains?
1097	112	01110000	map->list
1098	113	01110001	vec-empty
1099	114	01110010	vec-conj
1100	115	01110011	vec-count
1101	116	01110100	vec-nth
1102	117	01110101	vec->list
1103	118	01110110	vec-from-list
1104	119	01110111	is-fact?
1105	120	01111000	describe
1106	121	01111001	collect-facts-about
1107	122	01111010	contains-atom?
1108	123	01111011	forward-in
1109	124	01111100	reason-in
1110	125	01111101	check-conflict
1111	126	01111110	module-known?
1112	127	01111111	module-clauses-now
1113	128	10000000	prove-goal
1114	129	10000001	prove-goals
1115	130	10000010	explain-proof
1116	131	10000011	source-of
1117	132	10000100	provenance
1118	133	10000101	reason
1119	134	10000110	reason-explain
1120	135	10000111	unify
1121	136	10001000	logic-var
1122	137	10001001	var?
1123	138	10001010	apply-subst
1124	139	10001011	walk
1125	140	10001100	occurs-check
1126	141	10001101	claim?
1127	142	10001110	claim-statement
1128	143	10001111	claim-review
1129	144	10010000	evidence?
1130	145	10010001	evidence-method
1131	146	10010010	evidence-outcome
1132	147	10010011	observation?
1133	148	10010100	observation-statement
1134	149	10010101	intent?
1135	150	10010110	intent-goal
1136	151	10010111	supporting-evidence
1137	152	10011000	identity
1138	153	10011001	gensym
1139	154	10011010	and
1140	155	10011011	or
1141	156	10011100	let
1142	157	10011101	let*
1143	158	10011110	ланцюжок-першого-аргументу
1144	159	10011111	ланцюжок-останнього-аргументу
1145	160	10100000	json-parse
1146	161	10100001	sha256-hex
1147	162	10100010	process-run
1148	163	10100011	tcp-read
1149	164	10100100	tcp-write
1150	165	10100101	tcp-listen
1151	166	10100110	read-file
1152	167	10100111	write-file
